Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight
ATL00LA092,09/17/2000,"ATLANTA, GA",United States,33.748997,-84.387985,,,Non-Fatal,,N853AS,Bombardier,CRJ-200,SCHD,(DBA: DELTA CONNECTION),0,1,50,VMC,CRUISE
DCA08FA018,12/16/2007,"Providence, RI",United States,41.82399,-71.412834,KPVD,Theodore F. Green State,Non-Fatal,Substantial,N470ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines,0,0,34,IMC,LANDING
DCA10CA018,12/18/2009,"Dallas, TX",United States,32.896944,-97.038055,DFW,Dallas/Fort Worth Intl Airport,Non-Fatal,Substantial,N515AE,Bombardier,CL-600,SCHD,American Eagle,0,0,3,VMC,STANDING
ENG12IA004,10/23/2011,"Atlanta, GA",United States,33.748997,-84.387985,ATL,Hartsfield-Jackson Atlanta Int,Incident,,N751EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,,,LANDING
DCA11CA084A,07/14/2011,"Boston, MA",United States,42.353333,-71.014444,BOS,GENERAL EDWARD LAWRENCE LOGAN,Non-Fatal,Substantial,N132EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection),0,0,291,VMC,STANDING
ATL02FA113,06/02/2002,"Atlanta, GA",United States,33.645277,-84.433056,ATL,Atlanta Hartsfield,Non-Fatal,Substantial,N849AS,Bombardier,CL-600,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,53,VMC,LANDING
DCA09FA033,02/28/2009,"Tallahassee, FL",United States,30.396389,-84.350278,TLH,Tallahassee Regional Airport,Non-Fatal,Substantial,N830AS,Bombardier,CRJ-200,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,2,,STANDING
CHI01LA066,01/08/2001,"Detroit, MI",United States,42.332939,-83.047836,DTW,DETROIT METROPOLITAN WAYNE CO.,Non-Fatal,Substantial,N784CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,31,VMC,STANDING
NYC01IA072,01/03/2001,"Covington, KY",United States,39.083672,-84.508553,,,Incident,Minor,N933CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,46,VMC,APPROACH
ENG14IA029,09/13/2014,"Hodeida, Yemen",Yemen,14.764444,42.981945,,N/A,Incident,Minor,7O-FAB,Bombardier,CRJ-700,SCHD,Felix Airways,0,0,,UNK,TAKEOFF
WPR13IA144,03/05/2013,"Danville, CA",United States,37.839444,-122.003333,SJC,Norman Y. Mineta San Jose Int,Incident,Minor,N417QX,Bombardier,DHC-8,SCHD,Horizon Air,0,0,51,VMC,CLIMB
WPR13LA431,09/29/2013,"Reno, NV",United States,39.498889,-119.768056,,N/A,Non-Fatal,,N449QX,Bombardier,DHC-8,SCHD,Horizon Air Industries Inc,0,1,58,VMC,APPROACH
SEA02IA044,03/01/2002,"Boise, ID",United States,43.615791,-116.201576,,,Incident,,N410QX,Bombardier,DHC-8,SCHD,Horizon Airlines,0,0,73,VMC,CRUISE
NYC05LA013,10/27/2004,"Philadelphia, PA",United States,39.871945,-75.241111,PHL,Philadelphia International,Non-Fatal,Substantial,N592ML,Bombardier,CL-600,SCHD,MESA AIRLINES INC (DBA: US Airways Express),0,0,41,VMC,TAXI
CEN09FA094,12/15/2008,"Chicago, IL",United States,41.980834,-87.906389,ORD,Chicago O'Hare International,Incident,Minor,N511MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc",0,0,32,VMC,APPROACH
DFW05LA047,12/29/2004,"Austin, TX",United States,30.201944,-97.666667,AUS,Austin-Bergstrom International,Non-Fatal,,N506MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,1,59,VMC,OTHER
DCA07FA037,04/12/2007,"Traverse City, MI",United States,44.741666,-85.593333,KTVC,Cherry Capitol Airport,Non-Fatal,Substantial,N8905F,Bombardier,CL-600,SCHD,PINNACLE AIR INC (DBA: Northwest Airlink),0,0,52,IMC,LANDING
CHI05FA077,03/11/2005,"Milwaukee, WI",United States,42.931667,-87.898055,MKE,Milwukee/General Mitchell,Non-Fatal,Substantial,N8932C,Bombardier,CL-600,SCHD,Pinnacle Airlines,0,0,12,IMC,CLIMB
DCA05MA031,02/02/2005,"Teterboro, NJ",United States,40.865978,-74.054443,KTEB,Teterboro NJ,Non-Fatal,Substantial,N370V,Bombardier,CL-600,NSCH,Platinum Jet Managment,0,4,0,VMC,TAKEOFF
DCA10IA022,01/19/2010,"Charleston, WV",United States,38.349819,-81.632622,CRW,Yeager Airport,Incident,Minor,N246PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: USAirways Express),0,0,34,VMC,TAKEOFF
DCA12CA035,02/03/2012,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,Non-Fatal,Substantial,N912SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,52,VMC,STANDING
CHI08LA051,12/16/2007,"Chicago, IL",United States,41.978611,-87.904722,ORD,Chicago O'Hare Intl,Non-Fatal,Substantial,N918SW,Bombardier,CL-600,SCHD,Skywest Airlines Inc,0,1,32,VMC,TAXI
CHI04IA056,01/17/2004,"Rapid City, SD",United States,44.045277,-103.057222,RAP,Rapid City Regional Airport,Incident,Minor,N595SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Skywest Airlines),0,0,35,IMC,LANDING
ENG10IA055,09/28/2010,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,GENERAL MITCHELL INTL,Incident,Minor,N498CA,Bombardier,CL-600,SCHD,"SKYWEST AIRLINES, Inc.",0,0,39,VMC,LANDING
ERA09LA538,09/27/2009,"Vineyard Haven, MA",United States,41.393055,-70.614444,MVY,Martha's Vineyard,Non-Fatal,Substantial,N190MP,Bombardier,CL-600,,,0,0,4,IMC,LANDING
CEN09LA088,12/14/2008,"Gary, IN",United States,41.616111,-87.412778,GYY,Gary International Airport,Non-Fatal,Substantial,N573BA,Bombardier,CL-600,,,0,0,3,VMC,LANDING
NYC01IA024,10/26/2000,"FALMOUTH, KY",United States,38.6768,-84.330162,,,Incident,,N958CA,Bombardier,CL-600,SCHD,,0,0,50,VMC,CRUISE
NYC01LA023A,10/23/2000,"NEW YORK, NY",United States,40.712776,-74.005974,LGA,LA GUARDIA,Non-Fatal,Substantial,N804CA,Bombardier,CL-600,SCHD,,0,0,81,VMC,TAXI
ENG13WA026,05/06/2013,"Osaka, Japan, Japan",Japan,34.693737,135.502167,RJOO,Osaka International Airport,Incident,Minor,,Bombardier,CL-600,SCHD,,0,0,55,,
DCA09WA031,02/24/2009,"Santander, Spain",Spain,43.461411,-3.8093,,,Incident,,,Bombardier,CL-600,SCHD,,0,0,,,
NYC04LA174,07/21/2004,"Snow Hill, VA",United States,38.056389,-75.463889,,,Non-Fatal,,N995CA,Bombardier,CL-600,SCHD,,0,1,4,VMC,MANEUVERING
LAX03IA199,06/13/2003,"Phoenix, AZ",United States,33.434166,-112.008056,KPHX,Phoenix Sky Harbor Intl,Incident,,N97325,Bombardier,CL-600,SCHD,,0,0,52,VMC,CLIMB
NYC03LA101,05/07/2003,"Boston, MA",United States,42.366945,-71.008611,BOS,Logan International Airport,Non-Fatal,Substantial,N484CA,Bombardier,CL-600,SCHD,,0,0,3,VMC,STANDING
CHI03FA014,10/24/2002,"Chicago, IL",United States,41.979445,-87.904444,ORD,CHICAGO O'HARE INTL,Non-Fatal,Substantial,N681BR,Bombardier,CL-600,SCHD,,0,0,48,VMC,TAXI
DCA16WA045,01/08/2016,"Kiruna, Sweden",Sweden,67.8557995,20.225282,,,Fatal(2),Destroyed,,Bombardier,CL-600,,,2,0,,,
ENG13WA044,09/07/2013,"Moscow, Russia",Russia,55.755826,37.6172999,,,Incident,,,Bombardier,CL-600,,,0,0,10,,
DCA13WA050,01/29/2013,"Almaty, Kazakhstan",Kazakhstan,43.2220146,76.8512485,,,Fatal(21),Destroyed,,Bombardier,CL-600,SCHD,,21,0,,,
DCA13WA003,10/16/2012,"Lorient, France",France,47.7482524,-3.3702449,,,Incident,Minor,,Bombardier,CL-600,SCHD,,0,0,57,,
DCA15WA182,07/27/2015,"Makassar, Indonesia",Indonesia,-5.1476651,119.4327314,,,Incident,,,Bombardier,CL-600,,,0,0,98,,TAXI
ATL03IA126,08/13/2003,"Raleigh Durham, NC",United States,35.883056,-78.790277,RDU,Raleigh Durham International,Incident,Minor,N451CA,Bombardier,CL-600,SCHD,,0,0,23,VMC,CRUISE
NYC02IA097,05/08/2002,"Covington, KY",United States,39.046111,-84.662222,,,Incident,,N709CA,Bombardier,CL-600,SCHD,,0,0,18,IMC,CRUISE
DCA05RA010,11/21/2004,"Baotou, China",China,40.657978,109.840313,,,Fatal(55),Destroyed,,Bombardier,CRJ-200,SCHD,,55,0,,VMC,
ENG11WA045,08/15/2011,"Lyon, France, France",France,45.764043,4.835659,LYS,Lyon Saint Exupery Airport,Incident,Minor,,Bombardier,CRJ-700,SCHD,,0,0,,,
ENG11RA042,07/21/2011,"Edinburgh, United Kingdom",United Kingdom,55.953252,-3.188267,,,Incident,,,Bombardier,DHC-8,SCHD,,0,0,,,
ENG10RA017,12/21/2009,"London, United Kingdom",United Kingdom,51.5073509,-0.1277583,LGW,London Gatwick,Incident,Minor,,Bombardier,DHC-8,SCHD,,0,0,,,
SEA03FA024,01/08/2003,"Medford, OR",United States,42.446944,-122.860556,MFR,Rogue Valley Int.,Non-Fatal,Substantial,N409QX,Bombardier,DHC-8,SCHD,,0,1,31,VMC,APPROACH
LAX05FA202,06/12/2005,"Los Angeles, CA",United States,33.9425,-118.408056,LAX,Los Angeles International Airp,Non-Fatal,Substantial,N960SW,Bombardier,CL-600,SCHD,,0,0,17,VMC,APPROACH
DCA13CA066,12/05/2012,"New York, NY",United States,40.777223,-73.8725,KLGA,LaGuardia,Non-Fatal,Substantial,N411ZW,Bombardier,CL-600,SCHD,Air Wisconsin (DBA: US Airways Express),0,0,3,VMC,APPROACH
ERA11CA010,10/04/2010,"New York, NY",United States,40.773056,-73.870278,LGA,La Guardia Airport,Non-Fatal,,N414ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporations (DBA: US Airways Express),0,1,52,VMC,STANDING
CEN12LA457,07/18/2012,"Peoria, IL",United States,40.664167,-89.693333,PIA,General Downing-Peoria,Non-Fatal,,N502AE,Bombardier,CL-600,SCHD,"AMERICAN EAGLE AIRLINES INC (DBA: AMERICAN EAGLE AIRLINES, INC.)",0,1,56,VMC,APPROACH
ERA09IA338,06/11/2009,"Atlanta, GA",United States,33.636666,-84.428056,ATL,Hartsfield Jackson ATL Inter.,Incident,Minor,N857AS,Bombardier,CL-600,SCHD,Atlantic Southeast Airlines,0,0,22,VMC,LANDING
CEN11IA615,09/01/2011,"Baton Rouge, LA",United States,30.532778,-91.149722,BTR,Baton Rouge Metropolitan,Incident,Minor,N875AS,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,53,VMC,LANDING
ENG15IA024,06/05/2015,"Windsor Locks, CT",United States,41.939166,-72.683334,BDL,BRADLEY INTL,Incident,Minor,N363PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir - United Express),0,0,37,VMC,APPROACH
ERA09LA529,08/29/2009,,United States,37.09024,-95.712891,,Unknown,Unavailable,Substantial,N367PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir),0,0,,,UNKNOWN
DCA12FA058,04/07/2012,"Houston, TX",United States,29.9775,-95.333334,IAH,Geoarge Bush Intercontinental,Non-Fatal,Substantial,N213WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC,0,0,35,VMC,LANDING
DCA09MA027,02/12/2009,"Clarence Center, NY",United States,43.011111,-78.634722,BUF,Buffalo-Niagara International,Fatal(50),Destroyed,N200WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: Continental Connection),50,0,,VMC,APPROACH
DCA12CA122B,08/10/2012,"Dulles, VA",United States,38.9475,-77.45,IAD,Washington Dulles Internationa,Non-Fatal,Substantial,N341NG,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: United Express),0,0,270,VMC,STANDING
ENG11IA021,03/17/2011,"Pittsburgh, PA",United States,40.431667,-80.034444,,N/A,Incident,Minor,N339NG,Bombardier,DHC-8,SCHD,"Colgan Air, Inc.",0,0,40,UNK,
CEN10IA219,04/18/2010,"Kansas City, MO",United States,39.298333,-94.713333,,,Incident,,N160GJ,Bombardier,CL-600,SCHD,GOJET AIRLINES LLC (DBA: United Express),0,0,70,VMC,CLIMB
WPR11LA042,11/08/2010,"Los Angeles, CA",United States,34.236389,-118.339722,LAX,Los Angeles International,Non-Fatal,Substantial,N422QX,Bombardier,DHC-8,SCHD,HORIZON AIR INDUSTRIES INC,0,0,77,VMC,DESCENT
ERA11CA327,06/05/2011,"Florence, SC",United States,34.071111,-79.889444,,NONE,Non-Fatal,,N929LR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: US Airways Express),0,1,88,VMC,DESCENT
CEN11LA099B,12/04/2010,"Chicago, IL",United States,41.981389,-87.906667,ORD,Chicago O'Hare IAP,Non-Fatal,Substantial,N502MJ,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,37,VMC,STANDING
DCA15CA131,06/10/2015,"McCook, NE",United States,39.497222,-102.193889,,N/A,Non-Fatal,,N246LR,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,1,75,UNK,
CHI08IA119,04/24/2008,"Minneapolis, MN",United States,44.881945,-93.221667,MSP,Minneapolis-St Paul Intl.,Incident,,N918XJ,Bombardier,CL-600,SCHD,MESABA AVIATION INC,0,0,80,IMC,TAXI
CEN11IA264,03/30/2011,"Detroit, MI",United States,42.212222,-83.353333,DTW,Detroit Metro - Wayne County,Incident,,N8505Q,Bombardier,CL-600,SCHD,PINNACLE AIRLINES INC,0,0,27,VMC,UNKNOWN
DCA09FA011,11/13/2008,"Detroit, MI",United States,42.210833,-83.360278,DTW,Detroit Metropolitan Wayne Cou,Non-Fatal,Substantial,N8698A,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Airlink)",0,0,20,IMC,TAXI
CEN11LA051,11/02/2010,"Chicago, IL",United States,41.978611,-87.904722,ORD,O'Hare International,Non-Fatal,Substantial,N709BR,Bombardier,CL-600,SCHD,SKYWAY AIRLINES INC,0,0,37,VMC,STANDING
ERA11CA046,11/02/2010,"Pittsburgh, PA",United States,40.488055,-80.226389,PIT,Pttsburgh International Airpor,Non-Fatal,Substantial,N454SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,41,VMC,STANDING
WPR11IA019,10/18/2010,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Phoenix Sky Harbor Intl.,Incident,Minor,N938SW,Bombardier,CL-600,SCHD,SkyWest Airlines (DBA: United Express),0,0,53,VMC,STANDING
CEN11IA379,06/06/2011,"Milwaukee, WI",United States,42.951667,-87.894166,MKE,GENERAL MITCHELL INTL,Incident,Minor,N866AS,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,44,VMC,LANDING
WPR10IA256,05/23/2010,"Ontario, CA",United States,34.055833,-117.601111,ONT,Ontario International Airport,Incident,Minor,N925SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,27,VMC,LANDING
WPR11LA058,11/23/2010,"Salt Lake City, UT",United States,40.788333,-111.977778,SLC,Salt Lake City,Non-Fatal,Substantial,N614SK,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Delta Connection),0,0,69,IMC,TAXI
DCA13CA008,10/17/2012,"Kabul, Afghanistan",Afghanistan,34.566667,69.201389,OAKB,Kabul International Airport,Non-Fatal,Substantial,N800AW,Bombardier,DHC-8,NSCH,,0,0,7,VMC,LANDING
ERA15WA034,11/11/2013,"Charallave, Venezuela",Venezuela,10.29,-66.815,SVCS,Oscar Machado Zuloaga,Non-Fatal,Substantial,N54VS,Bombardier,CL-600,,,0,0,2,,
OPS09IA005A,05/29/2009,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte/Douglas Internationa,Incident,,,Bombardier,CL-600,SCHD,,0,0,,VMC,TAKEOFF
OPS11IA552B,05/16/2011,"CHICAGO, IL",United States,41.8781136,-87.6297982,KORD,Chicago Oäó»Hare International,Incident,,,Bombardier,CL-600,SCHD,,0,0,63,VMC,APPROACH
OPS10IA163A,04/29/2010,"Burbank, CA",United States,34.1808392,-118.3089661,BUR,Bob Hope Airport,Incident,,,Bombardier,CL-600,SCHD,,0,0,,VMC,APPROACH
OPS08IA015A,09/19/2008,"Allentown, PA",United States,40.6022939,-75.4714098,ABE,Allentown / Lehigh Valley Intl,Incident,,,Bombardier,CL-600,SCHD,,0,0,63,VMC,TAKEOFF
DCA15WA174A,08/03/2015,"Toronto, Canada",Canada,43.653226,-79.3831843,,,Incident,,N272PQ,Bombardier,CL-600,,,0,0,,,LANDING
OPS09IA009A,06/26/2009,"Cleveland, OH",United States,41.49932,-81.6943605,CLE,Cleveland/Hopkins Int'l Airpor,Incident,,,Bombardier,DHC-8,SCHD,,0,0,66,VMC,TAKEOFF
ENG15RA010,12/16/2014,"Belfast, N Ireland, United Kingdom",United Kingdom,54.597285,-5.93012,,,Incident,,,Bombardier,DHC-8,,,0,0,,,CRUISE
DCA05IA072,06/09/2005,"colorado spring, CO",United States,38.8338816,-104.8213634,,,Incident,,CGJAZ,Bombardier,CL-600,SCHD,Air Canada Jazz,0,0,66,,CRUISE
DCA05MA071,05/31/2005,"Chicago O'Hare, IL",United States,41.9772983,-87.8368909,ORD,Chicago O'Hare International,Non-Fatal,Minor,N417AW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporation (DBA: United Express),0,1,26,VMC,STANDING
DCA06MA064,08/27/2006,"Lexington, KY",United States,38.0405837,-84.5037164,LEX,BLUE GRASS,Fatal(49),Destroyed,N431CA,Bombardier,CRJ-200,SCHD,COMAIR INC,49,1,,VMC,TAXI
SEA05LA184B,08/29/2005,"Portland, OR",United States,45.588611,-122.5975,PDX,Portland International,Non-Fatal,Substantial,N363PH,Bombardier,DHC-8,SCHD,Horizon Air,0,0,270,VMC,STANDING
SEA08IA080,02/13/2008,"Hilo, HI",United States,19.622223,-154.863889,PHTO,Hilo International Airport,Incident,,N651BR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: GO),0,0,43,VMC,CLIMB
DEN07IA055,01/25/2007,"Cripple Creek, CO",United States,38.739722,-105.304166,,,Incident,Minor,N17337,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,54,VMC,CLIMB
LAX06LA154,04/30/2006,"Las Vegas, NV",United States,36.08,-115.152222,LAS,Mc Carran International,Non-Fatal,Substantial,N909FJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,0,89,VMC,TAXI
LAX07IA191,06/13/2007,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Pheonix Sky Harbor Intl.,Incident,,N7264V,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc. (DBA: US Airways Express)",0,0,53,VMC,STANDING
ATL06IA054,03/19/2006,"Asheville, NC",United States,35.436111,-82.541666,AVL,Asheville Regional Airport,Incident,Minor,N8783E,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Air Link)",0,0,33,VMC,CLIMB
NYC08LA234B,06/28/2008,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,Non-Fatal,Substantial,N228PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: US Airways Express),0,0,112,VMC,STANDING
NYC08LA234A,06/28/2008,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,Non-Fatal,Substantial,N725PS,Bombardier,CL-600,SCHD,PSA Airlines Inc. (DBA: US Airways Express),0,0,112,VMC,TAXI
CHI06IA011,10/17/2005,"West Grove, PA",United States,39.839166,-75.816945,,,Incident,Minor,N244PS,Bombardier,CL-600,SCHD,"PSA Airlines, Inc. (DBA: US Airways Express)",0,0,51,VMC,CLIMB
DEN08FA072,04/08/2008,"Colorado Spring, CO",United States,38.805556,-104.700556,,,Non-Fatal,Substantial,N483BA,Bombardier,CL-600,,,0,0,5,VMC,TAKEOFF
NYC07LA018,10/31/2006,"Teterboro, NJ",United States,40.886111,-74.386389,TEB,Teterboro Airport,Non-Fatal,,N322FX,Bombardier,CL-600,,,0,1,2,VMC,CRUISE
NYC07RA064,02/13/2007,"Moscow, Russia",Russia,55.755826,37.6172999,,,Non-Fatal,Destroyed,N168CK,Bombardier,CL-600,,,0,2,,IMC,
LAX07CA077,01/31/2007,"Kaunakakai, HI",United States,21.150278,-157.096666,,,Non-Fatal,,N979HA,Bombardier,DHC-8,,,0,1,5,VMC,DESCENT
SEA08LA061A,01/13/2008,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,Non-Fatal,Substantial,N705SK,Bombardier,CL-600,SCHD,,0,0,61,VMC,TAXI
DEN08LA010,10/12/2007,"Denver, CO",United States,39.861667,-104.673056,DEN,Denver International,Non-Fatal,Substantial,N368CA,Bombardier,CL-600,SCHD,,0,0,74,VMC,TAKEOFF
CHI06LA016,10/26/2005,"Covington, KY",United States,39.046111,-84.663889,CVG,Cincinnati / Northern Kentucky,Non-Fatal,,N391CA,Bombardier,CL-600,SCHD,,0,1,24,VMC,STANDING
NYC06LA099,04/15/2006,"Front Royal, VA",United States,38.964722,-78.3625,,,Non-Fatal,,N934EV,Bombardier,CL-600,SCHD,,0,1,50,VMC,DESCENT
OPS08IA002A,12/02/2007,"Baltimore, MD",United States,39.175278,-76.668334,BWI,BALTIMORE-WASHINGTON INTL,Incident,,,Bombardier,CRJ-200,SCHD,,0,0,184,VMC,TAKEOFF
FTW95IA156,04/03/1995,"DFW AIRPORT, TX",United States,32.8998091,-97.0403352,DFW,DALLAS/FORT WORTH,Incident,Minor,XASIJ,Boeing,727,NSCH,(DBA: AEROEXO),0,0,158,VMC,CLIMB
CHI97IA096,03/22/1997,"MANAUS, Brazil",Brazil,-3.1190275,-60.0217314,SBEG,EDUARDO GOMEZ AIRPORT,Incident,Minor,N707CK,Boeing,747,NSCH,(DBA: AIA),0,0,7,VMC,LANDING
SEA00LA094A,05/24/2000,"SEATTLE, WA",United States,47.6062095,-122.3320708,BFI,KING CO INTL/BOEING FIELD,Non-Fatal,,N767AX,Boeing,767,NSCH,(DBA: AIRBORNE EXPRESS),0,0,4,VMC,TAXI
ANC98LA122,08/14/1998,"JUNEAU, AK",United States,58.3019444,-134.4197221,JNU,JUNEAU INTERNATIONAL,Non-Fatal,Substantial,N799AS,Boeing,737,SCHD,"(DBA: ALASKA AIRLINES, INC)",0,0,145,VMC,LANDING
ANC01LA018,11/13/2000,"ANCHORAGE, AK",United States,61.2180556,-149.9002778,,,Non-Fatal,,N611AS,Boeing,737,SCHD,(DBA: ALASKA AIRLINES),0,1,99,VMC,DESCENT
MIA96FA068B,01/23/1996,"MIAMI, FL",United States,25.7616798,-80.1917902,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,IDEML,Boeing,747,SCHD,(DBA: ALITALIA),0,0,459,VMC,TAXI
FTW95LA167,04/11/1995,"SAN ANTONIO, TX",United States,29.4241219,-98.4936282,SAT,SAN ANTONIO INTERNATIONAL,Non-Fatal,,N683A,Boeing,757,SCHD,"(DBA: AMERICAN AIRLINES, INC.)",0,1,129,VMC,OTHER
CHI98LA127,04/19/1998,"CHICAGO, IL",United States,41.8781136,-87.6297982,ORD,O'HARE INTERNATIONAL,Non-Fatal,Minor,N722AA,Boeing,727,SCHD,(DBA: AMERICAN AIRLINES),0,1,153,VMC,STANDING
FTW00LA244,08/23/2000,GULF OF MEXICO,,25.304304,-90.065918,,,Non-Fatal,Minor,N657AM,Boeing,757,SCHD,(DBA: AMERICAN AIRLINES),0,1,54,IMC,CRUISE
CHI99IA204,06/29/1999,"CHICAGO, IL",United States,41.8781136,-87.6297982,ORD,O'HARE INTERNATIONAL,Incident,Minor,N384AA,Boeing,767,SCHD,(DBA: AMERICAN AIRLINES),0,0,186,VMC,TAXI
MIA00LA271,09/26/2000,"MIAMI, FL",United States,25.7616798,-80.1917902,MIA,MIAMI INTERNATIONAL,Non-Fatal,,N789AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,167,VMC,DESCENT
CHI00LA268,08/22/2000,"BARABOO, WI",United States,43.4710944,-89.7442906,,,Non-Fatal,,N785AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,250,IMC,DESCENT
LAX95IA229,06/29/1995,"ELKO, NV",United States,40.8324211,-115.7631232,,,Incident,Minor,N457TM,Boeing,737,SCHD,(DBA: CASINO EXPRESS),0,0,84,VMC,DESCENT
IAD96IA044,02/20/1996,"WASHINGTON, DC",United States,38.9071923,-77.0368707,DCA,WASHINGTON NATIONAL,Incident,Minor,N33202,Boeing,737,SCHD,(DBA: CONTINENTAL AIRLINES),0,0,79,IMC,LANDING
FTW97FA255,07/06/1997,"ALBUQUERQUE, NM",United States,35.0843859,-106.650422,ABQ,ALBUQUERQUE INTERNATIONAL,Non-Fatal,Substantial,N2809W,Boeing,727,SCHD,"(DBA: DELTA AIR LINES, INC.)",0,0,153,VMC,LANDING
NYC99LA064,02/22/1999,"COVINGTON, KY",United States,39.0836712,-84.5085536,CVG,CINCINNATI INTERNATION,Non-Fatal,Substantial,N682DA,Boeing,757,SCHD,(DBA: DELTA AIR LINES),0,0,132,VMC,TAKEOFF
MIA00LA267,09/20/2000,"ATLANTA, GA",United States,33.7489954,-84.3879824,,,Non-Fatal,,N172DZ,Boeing,767,SCHD,(DBA: DELTA AIRLINES INC.),0,3,230,VMC,DESCENT
MIA99LA272,09/27/1999,"ATLANTA, GA",United States,33.7489954,-84.3879824,,,Non-Fatal,,N196DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,1,201,IMC,MANEUVERING
NYC96IA131,06/25/1996,"JAMAICA, NY",United States,40.702677,-73.7889689,,,Incident,Minor,N185DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,0,229,VMC,TAKEOFF
LAX96IA199,05/19/1996,"LOS ANGELES, CA",United States,34.0522342,-118.2436849,,,Incident,Minor,N470EV,Boeing,747,SCHD,"(DBA: EVERGREEN INT'L AIRLINES, INC.)",0,0,3,VMC,CLIMB
FTW97IA084,01/21/1997,"OKLAHOMA CITY, OK",United States,35.4675602,-97.5164276,OKC,WILL ROGERS WORLD,Incident,,N198FE,Boeing,727,SCHD,(DBA: FEDERAL EXPRESS),0,0,4,VMC,CLIMB
MIA96LA107,03/27/1996,"MEMPHIS, TN",United States,35.1495343,-90.0489801,MEM,MEMPHIS INTERNATIONAL,Non-Fatal,Substantial,N468FE,Boeing,727,NSCH,(DBA: FEDEX),0,0,3,VMC,TAXI
CHI97LA078,03/02/1997,"CHICAGO, IL",United States,41.8781136,-87.6297982,,,Non-Fatal,,N755AT,Boeing,757,SCHD,(DBA: MEXICANA AIRLINES),0,4,180,VMC,DESCENT
LAX99IA072,01/05/1999,"PHOENIX, AZ",United States,33.4483771,-112.0740373,KPHX,PHOENIX SKY HARBOR,Incident,Minor,N804MA,Boeing,727,NSCH,(DBA: MIAMI AIR INTERNATIONAL),0,0,180,VMC,TAKEOFF
